,surface_composition,density,band_gap,efermi,formation_energy_per_atom,total_magnetization,volume,energy_per_atom,pretty_formula,material_id
1763,Mn3Tc,,,,,,,,,
1764,Mn3Os,12.555966855189835,0.0,6.99140418,-0.0050893909913796165,0.01826095,93.90987780300104,-9.68320285625,Mn3Os,mp-1185935
1765,Pt3Zr,16.7830572339054,0.0,7.12841779,-1.0219263187499994,3.025e-06,267.7259119030978,-7.71203225875,ZrPt3,mp-1188129
1766,Pt3Hf,19.263169222135826,0.0,7.3719678,-1.0896294881250004,9.8e-06,263.3467864355087,-8.132106463125,HfPt3,mp-11456
1767,Pt3Mn,17.432671505765754,0.0,6.78733731,-0.3538916849137932,4.1105132,60.98093338243142,-7.197499085,MnPt3,mp-1180
1768,Ag3Hf,,,,,,,,,
1769,Zn3Sc,6.031670532984119,0.0,3.36817135,-0.31334604624999995,0.00012135,132.7969242956011,-2.84105877625,ScZn3,mp-862260
1770,Zn3Ta,10.266827567865073,0.0,3.72410521,-0.06603359125000008,0.0028041,61.00361762581011,-3.975073365,TaZn3,mp-1187257
1771,Zn3V,7.294935890206952,0.0,3.68931986,-0.052479941250000106,0.0054069,56.262722038984,-3.2676644375,VZn3,mp-11578
1772,Zn3Ni,8.02084414519375,0.0,4.27332372,-0.1691454212500001,0.0018795,52.77565246383096,-2.558696325,Zn3Ni,mp-971941
1773,Zn3Mn,7.45097585970651,0.0,3.63754579,-0.0296719486637933,2.8498247,55.975133625419524,-3.26469402,MnZn3,mp-11504
1774,Zn3Au,10.278026049845353,0.0,3.83132057,-0.17339825031250022,4.55375e-05,508.2013054988952,-1.9364640890625,Zn3Au,mp-30424
1775,Cd3Mn,8.207570358652637,0.0,3.21470044,0.16303623508620646,3.532269,79.34325416111945,-2.8070424675,MnCd3,mp-1185991
1776,Hg3Fe,13.218094211623102,0.0,3.26757059,0.45587839875000036,0.0085821,165.22735892167142,-1.88899228625,FeHg3,mp-1184346
1777,Al3Sc,3.0172734312602296,0.0,7.15142455,-0.4549311287499993,0.0001865,69.28863083851826,-4.8472302775,ScAl3,mp-2121
1778,Al3V,3.714657278013145,0.0,8.07670278,-0.28852175249999945,2.5e-06,58.9561919815033,-5.3682926675,Al3V,mp-2554
1779,Ga3Sc,6.0269099870401615,0.0,4.62384207,-0.5006522037499996,3.44e-05,70.01669928366148,-4.35483692,ScGa3,mp-932
1780,Ga3W,,,,,,,,,
1781,In3Fe,,,,,,,,,
1782,In3Ga,6.726578997941338,0.0,6.28729955,0.04630588499999977,0.0003755,102.24470554760084,-2.7744793925,In3Ga,mp-974309
1783,Tl3Y,10.629354660824648,0.0,6.34479165,-0.25125923083333346,0.0007987,109.67655488086972,-3.639017585,YTl3,mp-2393
1784,Tl3Sc,,,,,,,,,
1785,Tl3Ti,11.272859508131141,0.0,7.39530921,0.2992896850000002,0.5228354,97.3705372040778,-3.445713215,TiTl3,mp-1100771
